12:54:40:976 [main] DEBUG org.apache.ibatis.transaction.jdbc.JdbcTransaction - Resetting autocommit to true on JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@58dea0a5]
12:54:40:979 [main] DEBUG org.apache.ibatis.transaction.jdbc.JdbcTransaction - Closing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@58dea0a5]
12:54:40:979 [main] DEBUG org.apache.ibatis.datasource.pooled.PooledDataSource - Returned connection 1490985125 to pool.
12:54:40:979 [main] INFO  main.Main - [Cashier [idCashier=1, idEmployees=2], Cashier [idCashier=2, idEmployees=7]]
12:54:41:364 [main] INFO  jaxb.CarJAXB - Car info
12:54:41:365 [main] INFO  jaxb.CarJAXB - Vin: KNDJE723297570351
12:54:41:365 [main] INFO  jaxb.CarJAXB - Make: BMW
12:54:41:366 [main] INFO  jaxb.CarJAXB - Model: X3
12:54:41:366 [main] INFO  jaxb.CarJAXB - Body type: SUV
12:54:41:367 [main] INFO  jaxb.CarJAXB - Production year: 2018
12:54:41:367 [main] INFO  jaxb.CarJAXB - Engine capacity: 2993cc
12:54:41:367 [main] INFO  jaxb.CarJAXB - Fuel type: Gasoline
